
Spring,2016,ANDREW GELLMAN, Carnegie Institute of Technology,06714,SURFCS AND ADSORP,A,Lect,5,5,100%,12.20,4.40,4.40,4.40,4.00,4.80,4.60,4.80,4.40,4.40,,,,,,,,,,,

Spring,2016,IGNACIO GROSSMANN, Carnegie Institute of Technology,06720,ADV PROC SYS ENGIN,A,Lect,14,18,78%,13.29,4.71,4.86,4.93,4.36,4.93,4.86,5.00,4.93,4.93,,,,,,,,,,,

Spring,2016,SUSANA STEPPAN, Carnegie Institute of Technology,06777,CPS LAB III,A,Lect,1,2,50%,21.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

Spring,2016,SUSANA STEPPAN, Carnegie Institute of Technology,06777,CPS LAB III,B,Lect,3,3,100%,9.00,4.67,4.67,4.67,4.33,4.33,4.00,5.00,4.33,4.33,,,,,,,,,,,

Spring,2016,ANNETTE JACOBSON, Carnegie Institute of Technology,06802,CLDS PLYM SURF LB II,A,Lect,2,3,67%,11.00,5.00,4.50,5.00,4.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

Spring,2016,ANNETTE JACOBSON, Carnegie Institute of Technology,06802,CLDS PLYM SURF LB II,B,Lect,3,6,50%,12.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

Spring,2016,EGON BALAS, Carnegie Institute of Technology,06805,SPC TPC:DISJNTV PROG,A4,Lect,5,9,56%,14.20,4.60,4.40,3.80,4.00,4.20,4.40,4.80,4.20,4.20,,,,,,,,,,,

Spring,2016,SUSAN FINGER, Carnegie Institute of Technology,39245,RAPID PROTOTYPE DSGN,A,Lect,16,28,57%,5.60,4.88,3.75,3.81,4.06,4.19,4.07,4.88,4.31,3.81,,,,,,,,,,,

Spring,2016,JEFFERY HANSEN, Carnegie Institute of Technology,39606,ENGINEERING DSGN PRJ,A,Lect,6,9,67%,9.00,3.17,4.00,4.17,2.50,3.67,3.33,3.50,3.17,3.17,,,,,,,,,,,

Spring,2016,CONSTANTINOS SAMARAS, Carnegie Institute of Technology,39611,ENRY DEMD & UTILZTN,A3,Lect,29,30,97%,7.79,4.66,4.48,4.41,4.28,4.59,4.62,4.76,4.52,4.34,,,,,,,,,,,

Spring,2016,JAY WHITACRE, Carnegie Institute of Technology,39612,ENGY POLICY & ECONMC,A4,Lect,21,24,88%,11.00,4.14,4.38,4.19,3.71,4.38,4.14,4.71,4.19,4.24,,,,,,,,,,,

Spring,2016,ANNETTE JACOBSON, Carnegie Institute of Technology,39802,COL POLY SUR LAB II,A,Lect,4,6,67%,12.75,4.00,4.25,4.25,3.75,4.25,4.25,4.25,4.25,4.25,,,,,,,,,,,

Spring,2016,ANNETTE JACOBSON, Carnegie Institute of Technology,39802,COL POLY SUR LAB II,B,Lect,3,5,60%,12.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,

